run_name,benchmark,scenario,layer_idx,component,mean_weight_norm,mean_grad_norm,mean_bias_norm,mean_bias_grad_norm,max_grad_norm,n_rows
seq_film_r0pct_seed0,sdfc,shared_head,0,basal,8.787344506292632,0.164526683665257,1.6399254786095234,0.0708003436683235,1.5570733547210693,1584
seq_film_r0pct_seed0,sdfc,shared_head,0,beta,26.352209247723973,0.04462090923679896,13.236884762542417,0.04462090928447394,0.49412551522254944,1584
seq_film_r0pct_seed0,sdfc,shared_head,0,gamma,26.168358952108054,0.010853864009226931,12.573420918349063,0.010853864174369121,0.22348730266094208,1584
seq_film_r0pct_seed0,sdfc,shared_head,1,basal,9.055473146414515,0.3516167460075307,0.675318287290407,0.01797445458293963,4.993885517120361,1584
seq_film_r0pct_seed0,sdfc,shared_head,1,beta,25.95469059486582,0.018955039050636037,12.772407566658174,0.018955038968543232,0.2523079216480255,1584
seq_film_r0pct_seed0,sdfc,shared_head,1,gamma,25.856769092155226,0.02078709704239207,13.409197854875314,0.020787096902256393,0.42277637124061584,1584
seq_film_r2pct_seed0,sdfc,shared_head,0,basal,9.05528100632658,0.11720500233808928,1.7311235308045088,0.04982574904370451,0.7831861972808838,1584
seq_film_r2pct_seed0,sdfc,shared_head,0,beta,26.42637969387902,0.032849219571877676,13.186478831551291,0.03263450269216466,0.2557257413864136,1584
seq_film_r2pct_seed0,sdfc,shared_head,0,gamma,26.448919673158667,0.008417304576582726,12.452787774981875,0.008379316183643161,0.12193511426448822,1584
seq_film_r2pct_seed0,sdfc,shared_head,1,basal,9.579248625822741,0.26052489831592096,0.663546947254376,0.01345725291259276,2.7019996643066406,1584
seq_film_r2pct_seed0,sdfc,shared_head,1,beta,25.97083218531175,0.012677390666744436,12.781789128226464,0.012418301908589703,0.1203831136226654,1584
seq_film_r2pct_seed0,sdfc,shared_head,1,gamma,25.970914690181463,0.011269769797754542,13.289732001044534,0.011239913585398822,0.16964364051818848,1584
seq_film_r5pct_seed0,sdfc,shared_head,0,basal,9.047144072224395,0.1282431609726351,1.686949269187571,0.05547253282933562,0.7928613424301147,1584
seq_film_r5pct_seed0,sdfc,shared_head,0,beta,26.417844883119216,0.03727850197782288,13.170279403527578,0.03696620995197468,0.2557257413864136,1584
seq_film_r5pct_seed0,sdfc,shared_head,0,gamma,26.446614080005222,0.008671265668068152,12.439766518997423,0.008647563741595315,0.11735022813081741,1584
