run_name,variant_name,benchmark,scenario,training_regime,model,tasks,epochs,batch_size,hidden_dims,lr,apical_lr_mult,apical_init_gain,gate_temperature,replay_fraction_per_task,replay_size_per_task,n_train_per_task,seed,average_accuracy,average_forgetting,backward_transfer
seq_film_r5pct_seed2,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct5_replaysize500,sdfc,shared_head,sequential,film_full,4,5,128,128-128,0.001,1.0,4.0,1.0,0.05,500,10000,2,0.96075,0.0028333333333333175,-0.0028333333333333175
seq_film_r10pct_seed2,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,sdfc,shared_head,sequential,film_full,4,5,128,128-128,0.001,1.0,4.0,1.0,0.1,1000,10000,2,0.9581250000000001,0.005666666666666671,-0.005666666666666671
seq_affine_r0pct_seed2,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,sdfc,shared_head,sequential,dendritic_affine_separate,4,5,128,128-128,0.001,1.0,4.0,1.0,0.0,0,10000,2,0.703125,0.3465,-0.3465
seq_affine_r2pct_seed2,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct2_replaysize200,sdfc,shared_head,sequential,dendritic_affine_separate,4,5,128,128-128,0.001,1.0,4.0,1.0,0.02,200,10000,2,0.95425,0.012166666666666695,-0.012166666666666695
seq_affine_r5pct_seed2,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct5_replaysize500,sdfc,shared_head,sequential,dendritic_affine_separate,4,5,128,128-128,0.001,1.0,4.0,1.0,0.05,500,10000,2,0.9612499999999999,0.0020000000000000386,-0.0020000000000000386
seq_affine_r10pct_seed2,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,sdfc,shared_head,sequential,dendritic_affine_separate,4,5,128,128-128,0.001,1.0,4.0,1.0,0.1,1000,10000,2,0.9581249999999999,0.005833333333333357,-0.005833333333333357
seq_film_r0pct_seed3,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,sdfc,shared_head,sequential,film_full,4,5,128,128-128,0.001,1.0,4.0,1.0,0.0,0,10000,3,0.548625,0.5508333333333334,-0.5508333333333334
seq_film_r2pct_seed3,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct2_replaysize200,sdfc,shared_head,sequential,film_full,4,5,128,128-128,0.001,1.0,4.0,1.0,0.02,200,10000,3,0.95825,0.00366666666666667,-0.00366666666666667
seq_film_r5pct_seed3,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct5_replaysize500,sdfc,shared_head,sequential,film_full,4,5,128,128-128,0.001,1.0,4.0,1.0,0.05,500,10000,3,0.9563749999999999,0.00583333333333332,-0.0043333333333333375
seq_film_r10pct_seed3,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,sdfc,shared_head,sequential,film_full,4,5,128,128-128,0.001,1.0,4.0,1.0,0.1,1000,10000,3,0.9615,0.0011666666666666492,0.0030000000000000027
seq_affine_r0pct_seed3,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,sdfc,shared_head,sequential,dendritic_affine_separate,4,5,128,128-128,0.001,1.0,4.0,1.0,0.0,0,10000,3,0.55425,0.5415,-0.5415
seq_affine_r2pct_seed3,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct2_replaysize200,sdfc,shared_head,sequential,dendritic_affine_separate,4,5,128,128-128,0.001,1.0,4.0,1.0,0.02,200,10000,3,0.9585,0.0023333333333332984,-0.0023333333333332984
seq_affine_r5pct_seed3,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct5_replaysize500,sdfc,shared_head,sequential,dendritic_affine_separate,4,5,128,128-128,0.001,1.0,4.0,1.0,0.05,500,10000,3,0.9566250000000001,0.004666666666666708,-0.0030000000000000395
seq_affine_r10pct_seed3,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,sdfc,shared_head,sequential,dendritic_affine_separate,4,5,128,128-128,0.001,1.0,4.0,1.0,0.1,1000,10000,3,0.9622499999999999,0.0011666666666666492,0.003666666666666707
seq_film_r0pct_seed4,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,sdfc,shared_head,sequential,film_full,4,5,128,128-128,0.001,1.0,4.0,1.0,0.0,0,10000,4,0.6859999999999999,0.3706666666666667,-0.3706666666666667
seq_film_r2pct_seed4,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct2_replaysize200,sdfc,shared_head,sequential,film_full,4,5,128,128-128,0.001,1.0,4.0,1.0,0.02,200,10000,4,0.9541249999999999,0.009666666666666712,-0.009500000000000028
seq_film_r5pct_seed4,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct5_replaysize500,sdfc,shared_head,sequential,film_full,4,5,128,128-128,0.001,1.0,4.0,1.0,0.05,500,10000,4,0.956375,0.006666666666666672,-0.006500000000000024
seq_film_r10pct_seed4,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,sdfc,shared_head,sequential,film_full,4,5,128,128-128,0.001,1.0,4.0,1.0,0.1,1000,10000,4,0.958625,0.003333333333333336,-0.0023333333333333353
seq_affine_r0pct_seed4,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,sdfc,shared_head,sequential,dendritic_affine_separate,4,5,128,128-128,0.001,1.0,4.0,1.0,0.0,0,10000,4,0.682375,0.3741666666666667,-0.3741666666666667
seq_affine_r2pct_seed4,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct2_replaysize200,sdfc,shared_head,sequential,dendritic_affine_separate,4,5,128,128-128,0.001,1.0,4.0,1.0,0.02,200,10000,4,0.952875,0.010333333333333342,-0.010333333333333342
seq_affine_r5pct_seed4,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct5_replaysize500,sdfc,shared_head,sequential,dendritic_affine_separate,4,5,128,128-128,0.001,1.0,4.0,1.0,0.05,500,10000,4,0.9555,0.005833333333333357,-0.005833333333333357
seq_affine_r10pct_seed4,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,sdfc,shared_head,sequential,dendritic_affine_separate,4,5,128,128-128,0.001,1.0,4.0,1.0,0.1,1000,10000,4,0.957875,0.00366666666666667,-0.0023333333333333353
