benchmark,scenario,training_regime,model,variant_name,replay_fraction_per_task,replay_size_per_task,stage_label,stage_index,eval_task,mean_accuracy,std_accuracy,mean_positive_rate,mean_mean_logit,mean_std_logit,n
sdfc,shared_head,sequential,film_full,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,after_task_3,3,0,0.9567,0.003784838173555121,0.5101,0.9291126132011414,11.76444320678711,5
sdfc,shared_head,sequential,film_full,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,after_task_3,3,1,0.9629999999999999,0.0023184046238739348,0.5103,0.3717610120773315,10.673519515991211,5
sdfc,shared_head,sequential,film_full,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,after_task_3,3,2,0.9635,0.0029368350311176697,0.4934,0.41798771023750303,9.866915512084962,5
sdfc,shared_head,sequential,film_full,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,after_task_3,3,3,0.9574,0.00486569625028118,0.5082,0.5051356986165046,10.911574363708496,5
sdfc,shared_head,sequential,film_full,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct2_replaysize200,0.02,200,after_task_3,3,0,0.9426,0.007789415895944944,0.5187999999999999,1.1763931155204772,11.943772315979004,5
sdfc,shared_head,sequential,film_full,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct2_replaysize200,0.02,200,after_task_3,3,1,0.9568999999999999,0.011030639147393037,0.5067999999999999,0.42542324066162107,13.420569801330567,5
sdfc,shared_head,sequential,film_full,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct2_replaysize200,0.02,200,after_task_3,3,2,0.9586,0.004335896677735764,0.49729999999999996,0.5407950878143312,11.267129707336426,5
sdfc,shared_head,sequential,film_full,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct2_replaysize200,0.02,200,after_task_3,3,3,0.9593,0.004324349662087987,0.5021,0.4732076346874237,11.254339027404786,5
sdfc,shared_head,sequential,film_full,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct5_replaysize500,0.05,500,after_task_3,3,0,0.9549,0.0029453352950046417,0.5141,1.1898319661617278,12.233243560791015,5
sdfc,shared_head,sequential,film_full,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct5_replaysize500,0.05,500,after_task_3,3,1,0.9619,0.0052962250707460955,0.5034,0.14639199674129483,11.996903419494629,5
sdfc,shared_head,sequential,film_full,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct5_replaysize500,0.05,500,after_task_3,3,2,0.9621999999999999,0.0026598872156541023,0.4891,0.6364953998476267,10.510873222351075,5
sdfc,shared_head,sequential,film_full,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct5_replaysize500,0.05,500,after_task_3,3,3,0.9574999999999999,0.0040620192023179845,0.5069,0.67438182272017,10.981911277770996,5
